query_idx,cluster,miller_family,cluster_coherence@10,precision@10_miller,mean_similarity@10
82476,2,{510},0.8,1.0,0.9958302676677704
80711,3,{510},1.0,0.6,0.9876039385795593
53688,1,{521},1.0,1.0,0.9833320200443267
120933,0,{421},1.0,0.3,0.984309071302414
126132,7,{211},1.0,1.0,0.9976696372032166
30582,1,{321},1.0,1.0,0.9951192438602448
100205,3,{510},1.0,1.0,0.9954719126224518
13926,1,{211},1.0,1.0,0.9853128015995025
62236,3,{521},0.8,1.0,0.9917147815227508
106926,2,{310},1.0,1.0,0.9948232471942902
20132,5,{432},0.6,1.0,0.9897777915000916
44604,4,{421},1.0,1.0,0.9964520096778869
120113,0,{321},1.0,0.8,0.9838592708110809
45412,1,{431},1.0,1.0,0.9957023859024048
54733,4,{431},1.0,1.0,0.9823040008544922
22543,1,{321},1.0,1.0,0.99581179022789
84329,3,{510},1.0,0.8,0.9938628435134887
120900,0,{522},1.0,1.0,0.9769784927368164
72353,0,{431},1.0,1.0,0.9930330038070678
145385,3,{530},1.0,0.8,0.9934195756912232
83344,0,{530},1.0,0.8,0.9917607486248017
19343,1,{431},1.0,1.0,0.9913406491279602
28784,4,{432},1.0,1.0,0.995100075006485
17771,5,{332},1.0,0.9,0.9985162734985351
30360,2,{711},1.0,1.0,0.9920232176780701
48152,7,{211},1.0,1.0,0.991193687915802
148737,0,{110},0.8,0.7,0.991193151473999
57738,1,{331},1.0,0.8,0.9881259560585022
38174,5,{221},1.0,0.7,0.9855508863925934
42571,3,{310},1.0,1.0,0.9977872550487519
11664,7,{111},1.0,1.0,0.9898360908031464
108373,2,{510},0.5,0.8,0.9918021202087403
58596,1,{411},1.0,0.7,0.9809677362442016
3861,6,{100},1.0,1.0,0.992416512966156
9732,1,{411},1.0,1.0,0.9739450693130494
138469,4,{221},1.0,1.0,0.9897952675819397
4735,5,{433},1.0,1.0,0.9916182100772858
122444,7,{111},1.0,1.0,0.9932184457778931
133573,3,{521},1.0,1.0,0.9878857493400574
89432,1,{431},1.0,1.0,0.996632307767868
72115,1,{411},1.0,1.0,0.981670343875885
119812,2,{511},1.0,0.7,0.9922581315040588
111029,4,{321},1.0,1.0,0.9922367393970489
14704,1,{511},0.8,1.0,0.9905481398105621
