query_idx,cluster,miller_family,cluster_coherence@10,precision@10_miller,mean_similarity@10
224,4,{111},1.0,0.9,0.9850675404071808
105129,6,{433},1.0,0.2,0.9921833038330078
1158,9,{433},1.0,1.0,0.9921347618103027
41843,11,{210},0.8,1.0,0.9905027687549591
137762,14,{221},0.9,1.0,0.9790267288684845
105733,13,{433},0.9,0.6,0.9961933255195617
75095,2,{411},0.9,1.0,0.958416074514389
145267,25,{320},1.0,1.0,0.9956490993499756
101321,10,{310},1.0,1.0,0.9979488849639893
24741,9,{322},1.0,1.0,0.9939879238605499
47189,27,{431},1.0,1.0,0.9932295560836792
10043,3,{331},0.9,1.0,0.9906362175941468
94922,25,{530},1.0,1.0,0.9954854309558868
82476,10,{510},1.0,1.0,0.9958302676677704
80711,10,{510},1.0,0.6,0.9876039385795593
53688,2,{521},0.4,1.0,0.9833320200443267
120933,17,{421},1.0,0.3,0.984309071302414
126132,31,{211},1.0,1.0,0.9976696372032166
30582,1,{321},1.0,1.0,0.9951192438602448
100205,10,{510},1.0,1.0,0.9954719126224518
13926,22,{211},0.9,1.0,0.9853128015995025
62236,2,{521},0.8,1.0,0.9917147815227508
106926,18,{310},0.5,1.0,0.9948232471942902
20132,29,{432},1.0,1.0,0.9897777915000916
44604,34,{421},1.0,1.0,0.9964520096778869
120113,17,{321},1.0,0.8,0.9838592708110809
45412,1,{431},1.0,1.0,0.9957023859024048
54733,12,{431},0.8,1.0,0.9823040008544922
22543,1,{321},1.0,1.0,0.99581179022789
84329,10,{510},1.0,0.8,0.9938628435134887
120900,26,{522},0.6,1.0,0.9769784927368164
72353,0,{431},1.0,1.0,0.9930330038070678
145385,11,{530},1.0,0.8,0.9934195756912232
83344,25,{530},0.9,0.8,0.9917607486248017
19343,3,{431},1.0,1.0,0.9913406491279602
28784,22,{432},1.0,1.0,0.995100075006485
17771,13,{332},1.0,0.9,0.9985162734985351
30360,5,{711},1.0,1.0,0.9920232176780701
48152,16,{211},1.0,1.0,0.991193687915802
148737,23,{110},1.0,0.7,0.991193151473999
57738,22,{331},0.8,0.8,0.9881259560585022
38174,6,{221},1.0,0.7,0.9855508863925934
42571,10,{310},1.0,1.0,0.9977872550487519
11664,4,{111},1.0,1.0,0.9898360908031464
108373,5,{510},1.0,0.8,0.9918021202087403
58596,2,{411},1.0,0.7,0.9809677362442016
3861,8,{100},1.0,1.0,0.992416512966156
9732,12,{411},1.0,1.0,0.9739450693130494
138469,14,{221},1.0,1.0,0.9897952675819397
4735,6,{433},0.7,1.0,0.9916182100772858
122444,4,{111},1.0,1.0,0.9932184457778931
133573,2,{521},1.0,1.0,0.9878857493400574
89432,1,{431},0.9,1.0,0.996632307767868
72115,12,{411},0.9,1.0,0.981670343875885
119812,18,{511},1.0,0.7,0.9922581315040588
111029,34,{321},1.0,1.0,0.9922367393970489
14704,12,{511},1.0,1.0,0.9905481398105621
